location,date,total_cases,total_deaths,death_rate
Afghanistan,1/1/2021,51526,2191,4.25
Afghanistan,2/1/2021,51526,2191,4.25
Afghanistan,3/1/2021,51526,2191,4.25
Afghanistan,4/1/2021,53011,2237,4.22
Afghanistan,5/1/2021,53105,2244,4.23
Afghanistan,6/1/2021,53105,2244,4.23
Afghanistan,7/1/2021,53207,2253,4.23
Afghanistan,8/1/2021,53332,2257,4.23
Afghanistan,9/1/2021,53400,2264,4.24
Afghanistan,10/1/2021,53489,2277,4.26
Afghanistan,11/1/2021,53538,2288,4.27
Afghanistan,12/1/2021,53584,2301,4.29
Afghanistan,13/1/2021,53584,2301,4.29
Afghanistan,14/1/2021,53775,2314,4.30
Afghanistan,15/1/2021,53831,2324,4.32
Afghanistan,16/1/2021,53938,2336,4.33
Afghanistan,17/1/2021,53984,2339,4.33
Afghanistan,18/1/2021,54062,2343,4.33
Afghanistan,19/1/2021,54141,2346,4.33
Afghanistan,20/1/2021,54278,2354,4.34
Afghanistan,21/1/2021,54403,2363,4.34
Afghanistan,22/1/2021,54483,2370,4.35
Afghanistan,23/1/2021,54559,2373,4.35
Afghanistan,24/1/2021,54595,2378,4.36
Afghanistan,25/1/2021,54672,2385,4.36
Afghanistan,26/1/2021,54750,2389,4.36
Afghanistan,27/1/2021,54854,2389,4.36
Afghanistan,28/1/2021,54891,2397,4.37
Afghanistan,29/1/2021,54939,2399,4.37
Afghanistan,30/1/2021,55008,2400,4.36
Afghanistan,31/1/2021,55023,2400,4.36
Afghanistan,1/2/2021,55059,2404,4.37
Afghanistan,2/2/2021,55121,2405,4.36
Afghanistan,3/2/2021,55174,2406,4.36
Afghanistan,4/2/2021,55231,2407,4.36
Afghanistan,5/2/2021,55265,2407,4.36
Afghanistan,6/2/2021,55330,2408,4.35
Afghanistan,7/2/2021,55335,2410,4.36
Afghanistan,8/2/2021,55359,2413,4.36
Afghanistan,9/2/2021,55384,2414,4.36
Afghanistan,10/2/2021,55402,2418,4.36
Afghanistan,11/2/2021,55420,2419,4.36
Afghanistan,12/2/2021,55445,2424,4.37
Afghanistan,13/2/2021,55473,2427,4.38
Afghanistan,14/2/2021,55492,2427,4.37
Afghanistan,15/2/2021,55514,2427,4.37
Afghanistan,16/2/2021,55518,2428,4.37
Afghanistan,17/2/2021,55540,2428,4.37
Afghanistan,18/2/2021,55557,2430,4.37
Afghanistan,19/2/2021,55575,2430,4.37
Afghanistan,20/2/2021,55580,2430,4.37
Afghanistan,21/2/2021,55604,2432,4.37
Afghanistan,22/2/2021,55617,2433,4.37
Afghanistan,23/2/2021,55646,2435,4.38
Afghanistan,24/2/2021,55664,2436,4.38
