date,total_new_cases_found,total_new_death,death_percentage
30/4/2021,745070,12386,1.66
29/4/2021,753782,12979,1.72
28/4/2021,766411,13508,1.76
27/4/2021,700611,12589,1.80
26/4/2021,553391,9689,1.75
25/4/2021,634313,8711,1.37
24/4/2021,697166,11552,1.66
23/4/2021,733446,12147,1.66
22/4/2021,722770,11495,1.59
21/4/2021,708092,11857,1.67
20/4/2021,689706,12226,1.77
19/4/2021,523625,9051,1.73
18/4/2021,563229,7485,1.33
17/4/2021,642549,18446744073709561936,2870869626084479.46
16/4/2021,657190,10767,1.64
15/4/2021,627815,11081,1.77
14/4/2021,625852,11259,1.80
13/4/2021,589965,18446744073709562842,3126752277458758.20
12/4/2021,442093,7870,1.78
11/4/2021,568415,7546,1.33
10/4/2021,512933,10816,2.11
9/4/2021,557213,11374,2.04
8/4/2021,648332,12432,1.92
7/4/2021,506460,11038,2.18
6/4/2021,434228,9903,2.28
5/4/2021,336996,6229,1.85
4/4/2021,447912,5988,1.34
3/4/2021,378309,6769,1.79
2/4/2021,484745,8457,1.74
1/4/2021,541497,9829,1.82
31/3/2021,529981,10189,1.92
30/3/2021,421754,36893488147419113059,8747632066896606.33
29/3/2021,315173,6554,2.08
28/3/2021,372830,5450,1.46
27/3/2021,460590,8384,1.82
26/3/2021,484650,9723,2.01
25/3/2021,499618,8358,1.67
24/3/2021,479173,7308,1.53
23/3/2021,388057,9185,2.37
22/3/2021,301768,5613,1.86
21/3/2021,345176,4896,1.42
20/3/2021,392970,6725,1.71
19/3/2021,441590,8342,1.89
18/3/2021,429106,8135,1.90
17/3/2021,420334,7905,1.88
16/3/2021,361383,7842,2.17
15/3/2021,243517,5434,2.23
14/3/2021,287930,18446744073709556097,6406676648390079.57
13/3/2021,359528,18446744073709557992,5130822654622048.35
12/3/2021,373288,7214,1.93
11/3/2021,362719,7295,2.01
10/3/2021,360506,7157,1.99
9/3/2021,310646,7251,2.33
8/3/2021,209021,5344,2.56
7/3/2021,296042,4187,1.41
6/3/2021,316777,5749,1.81
5/3/2021,331892,6899,2.08
4/3/2021,336572,18446744073709558463,5480772040962872.27
3/3/2021,326740,7108,2.18
2/3/2021,283782,7344,2.59
1/3/2021,203173,4773,2.35
28/2/2021,224222,3907,1.74
27/2/2021,290617,5843,2.01
26/2/2021,316428,7034,2.22
25/2/2021,317365,6575,2.07
24/2/2021,319270,7459,2.34
23/2/2021,266923,7252,2.72
22/2/2021,180178,4561,2.53
21/2/2021,228682,4058,1.77
20/2/2021,264713,5895,2.23
19/2/2021,281201,6971,2.48
18/2/2021,276911,18446744073709558980,6661614769261444.64
17/2/2021,274053,7232,2.64
16/2/2021,237191,7150,3.01
15/2/2021,168009,4523,2.69
14/2/2021,198926,4616,2.32
13/2/2021,249988,6502,2.60
12/2/2021,270347,7548,2.79
11/2/2021,275056,8422,3.06
10/2/2021,279302,7596,2.72
9/2/2021,272414,9752,3.58
8/2/2021,142090,4974,3.50
7/2/2021,272070,5735,2.11
6/2/2021,226057,5994,2.65
5/2/2021,321858,10473,3.25
4/2/2021,259858,6655,2.56
3/2/2021,318378,8917,2.80
2/2/2021,262891,7954,3.03
1/2/2021,188953,6341,3.36
31/1/2021,225075,4948,2.20
30/1/2021,321625,8809,2.74
29/1/2021,321947,8444,2.62
28/1/2021,344407,10064,2.92
27/1/2021,342485,9061,2.65
26/1/2021,314833,18446744073709561261,5859215544021611.86
25/1/2021,202693,6565,3.24
24/1/2021,257175,5737,2.23
23/1/2021,330149,7676,2.33
22/1/2021,344170,9109,2.65
21/1/2021,338434,9481,2.80
20/1/2021,385023,9535,2.48
19/1/2021,319583,10352,3.24
18/1/2021,217475,5946,2.73
17/1/2021,276495,5330,1.93
16/1/2021,355022,7647,2.15
15/1/2021,376224,8388,2.23
14/1/2021,377198,8284,2.20
13/1/2021,376118,8999,2.39
12/1/2021,347800,9589,2.76
11/1/2021,250784,6364,2.54
10/1/2021,277608,5005,1.80
9/1/2021,393082,7593,1.93
8/1/2021,354070,8256,2.33
7/1/2021,438108,8237,1.88
6/1/2021,407853,8580,2.10
5/1/2021,339788,8945,2.63
4/1/2021,233034,6399,2.75
3/1/2021,234502,4618,1.97
2/1/2021,229834,4808,2.09
1/1/2021,279969,5924,2.12
31/12/2020,360172,7519,2.09
30/12/2020,396271,8670,2.19
29/12/2020,320358,9521,2.97
28/12/2020,212093,18446744073709557764,8697478970880490.05
27/12/2020,214325,4965,2.32
26/12/2020,210482,4560,2.17
25/12/2020,284167,5685,2.00
24/12/2020,364034,7038,1.93
23/12/2020,350577,8010,2.28
22/12/2020,333655,8885,2.66
21/12/2020,244297,6340,2.60
20/12/2020,264386,5233,1.98
19/12/2020,339323,6718,1.98
18/12/2020,358723,8106,2.26
17/12/2020,382263,8240,2.16
16/12/2020,380188,7995,2.10
15/12/2020,317710,9018,2.84
14/12/2020,232153,6173,2.66
13/12/2020,274208,5029,1.83
12/12/2020,339141,6820,2.01
11/12/2020,358807,7814,2.18
10/12/2020,373795,7927,2.12
9/12/2020,350028,7544,2.16
8/12/2020,329902,18446744073709559878,5591582977280998.56
7/12/2020,233625,5917,2.53
6/12/2020,288640,5256,1.82
5/12/2020,355353,6872,1.93
4/12/2020,354609,8186,2.31
3/12/2020,378617,8207,2.17
2/12/2020,356669,7881,2.21
1/12/2020,331414,8414,2.54
30/11/2020,258921,6327,2.44
29/11/2020,286436,5442,1.90
28/11/2020,359764,6870,1.91
27/11/2020,372564,8329,2.24
26/11/2020,370125,7914,2.14
25/11/2020,385147,7962,2.07
24/11/2020,342698,8722,2.55
23/11/2020,276280,6124,2.22
22/11/2020,297207,5292,1.78
21/11/2020,360517,6435,1.78
20/11/2020,393574,8272,2.10
19/11/2020,389346,7564,1.94
18/11/2020,383579,7728,2.01
17/11/2020,372283,7669,2.06
16/11/2020,280500,5917,2.11
15/11/2020,292229,5149,1.76
14/11/2020,377141,6809,1.81
13/11/2020,388306,7126,1.84
12/11/2020,399153,7066,1.77
11/11/2020,409123,7036,1.72
10/11/2020,358073,7426,2.07
9/11/2020,273990,5301,1.93
8/11/2020,330196,36893488147419107736,11173208684362956.47
7/11/2020,423034,5514,1.30
6/11/2020,439856,7227,1.64
5/11/2020,387556,5578,1.44
4/11/2020,325382,18446744073709558120,5669257695173536.99
3/11/2020,354601,18446744073709558233,5202112817986852.33
2/11/2020,368517,4686,1.27
1/11/2020,318447,3947,1.24
31/10/2020,347824,4949,1.42
30/10/2020,389815,5506,1.41
29/10/2020,384574,5313,1.38
28/10/2020,360398,5150,1.43
27/10/2020,327841,5459,1.67
26/10/2020,313200,4196,1.34
25/10/2020,265651,18446744073709554995,6943976899657654.21
24/10/2020,335324,4378,1.31
23/10/2020,349493,18446744073709556833,5278144075477779.76
