location,population,highest_infection_rate,covid_rate
Andorra,77265,13232,17.1255
Montenegro,628062,97389,15.5063
Czechia,10708982,1630758,15.2279
"San Marino",33938,5066,14.9272
Slovenia,2078932,240292,11.5584
Luxembourg,625976,67205,10.7360
Bahrain,1701583,176934,10.3982
Serbia,6804596,689557,10.1337
Israel,8655541,838481,9.6872
Estonia,1326539,122019,9.1983
Lithuania,2722291,247269,9.0831
Netherlands,17134873,1522973,8.8881
Belgium,11589616,990229,8.5441
Panama,4314768,364576,8.4495
France,68147687,5677835,8.3317
Portugal,10196707,836493,8.2036
Croatia,4105268,332183,8.0916
Hungary,9660350,779348,8.0675
Georgia,3989175,310310,7.7788
Lebanon,6825442,526578,7.7149
Liechtenstein,38137,2926,7.6723
Cyprus,875899,65233,7.4475
Poland,37846605,2792142,7.3775
"North Macedonia",2083380,152367,7.3135
Armenia,2963234,216064,7.2915
Qatar,2881060,205652,7.1381
Slovakia,5459643,382211,7.0007
Jordan,10203140,711373,6.9721
Brazil,212559409,14659011,6.8964
Austria,9006400,618870,6.8714
Malta,441539,30292,6.8605
Italy,60461828,4022653,6.6532
Argentina,45195777,2977363,6.5877
Kuwait,4270563,273991,6.4158
Latvia,1886202,118558,6.2855
Chile,19116209,1198245,6.2682
Monaco,39244,2454,6.2532
Moldova,4033963,250837,6.2181
"Bosnia and Herzegovina",3280815,198461,6.0491
Seychelles,98340,5873,5.9721
Bulgaria,6948445,404380,5.8197
Palestine,5101416,296462,5.8114
Colombia,50882884,2859724,5.6202
Maldives,540542,29835,5.5195
Romania,19237682,1055265,5.4854
Peru,32971846,1799445,5.4575
Kosovo,1932774,103638,5.3621
Ireland,4937796,248870,5.0401
"Costa Rica",5094114,250991,4.9271
Albania,2877800,131085,4.5550
Denmark,5792203,251249,4.3377
"Cape Verde",555988,23882,4.2954
Germany,83783945,3405365,4.0645
Paraguay,7132530,279077,3.9127
Belarus,9449321,358738,3.7964
Oman,5106622,193253,3.7844
Greece,10423056,345033,3.3103
Russia,145934460,4750755,3.2554
Canada,37742157,1228367,3.2546
Belize,397621,12668,3.1859
Azerbaijan,10139175,319109,3.1473
Iran,83992953,2499077,2.9753
Bahamas,393248,10453,2.6581
Iraq,40222503,1065199,2.6483
Bolivia,11673029,303732,2.6020
Libya,6871287,177508,2.5833
"Saint Lucia",183629,4552,2.4789
"Dominican Republic",10847904,266561,2.4573
Ecuador,17643060,381862,2.1644
Honduras,9904608,212333,2.1438
Norway,5421242,112970,2.0838
Kazakhstan,18776707,375539,2.0000
Botswana,2351625,46934,1.9958
Namibia,2540916,48351,1.9029
Iceland,341250,6472,1.8966
Mexico,128932753,2344755,1.8186
Guyana,786559,13283,1.6887
"Saint Vincent and the Grenadines",110947,1864,1.6801
Eswatini,1160164,18458,1.5910
Finland,5540718,86808,1.5667
Jamaica,2961161,45578,1.5392
Kyrgyzstan,6524191,95275,1.4603
India,1380004385,19164969,1.3888
Morocco,36910558,511249,1.3851
Barbados,287371,3855,1.3415
Guatemala,17915567,227671,1.2708
Malaysia,32365998,408713,1.2628
"Antigua and Barbuda",97928,1232,1.2581
"Saudi Arabia",34813867,417363,1.1988
Mongolia,3278292,37285,1.1373
Djibouti,988002,11100,1.1235
Nepal,29136808,323187,1.1092
"El Salvador",6486201,69198,1.0668
"Sao Tome and Principe",219161,2302,1.0504
Singapore,5850343,61145,1.0452
Gabon,2225728,23075,1.0367
Philippines,109581085,1037460,0.9468
Cuba,11326616,106707,0.9421
Indonesia,273523621,1668368,0.6100
"Equatorial Guinea",1402985,7694,0.5484
Lesotho,2142252,10731,0.5009
Japan,126476458,593264,0.4691
Bangladesh,164689383,759132,0.4609
Comoros,869595,3834,0.4409
Mauritania,4649660,18402,0.3958
Pakistan,220892331,825519,0.3737
Ghana,31072945,92562,0.2979
Kenya,53771300,159318,0.2963
Algeria,43851043,122108,0.2785
Cameroon,26545864,72250,0.2722
Myanmar,54409794,142817,0.2625
Gambia,2416664,5898,0.2441
Dominica,71991,174,0.2417
Senegal,16743930,40344,0.2409
Ethiopia,114963583,257442,0.2239
Mozambique,31255435,69917,0.2237
Egypt,102334403,227552,0.2224
Rwanda,12952209,25116,0.1939
Congo,5518092,10678,0.1935
Guinea-Bissau,1967998,3734,0.1897
Malawi,19129955,34078,0.1781
"Cote d'Ivoire",26378275,46036,0.1745
Guinea,13132792,22215,0.1692
Afghanistan,38928341,59745,0.1535
Grenada,112519,160,0.1422
Bhutan,771612,1074,0.1392
Madagascar,27691019,37014,0.1337
"Central African Republic",4829764,6411,0.1327
"Papua New Guinea",8947027,10997,0.1229
Australia,25499881,29811,0.1169
Haiti,11402533,13056,0.1145
Nicaragua,6624554,6898,0.1041
Eritrea,3546427,3671,0.1035
Mauritius,1271767,1209,0.0951
"Saint Kitts and Nevis",53192,44,0.0827
Angola,32866268,26652,0.0811
Cambodia,16718971,13402,0.0802
Nigeria,206139587,165110,0.0801
Mali,20250834,13858,0.0684
Benin,12123198,7821,0.0645
"Burkina Faso",20903278,13310,0.0637
"New Zealand",4822233,2613,0.0542
Brunei,437483,224,0.0512
"Sierra Leone",7976985,4054,0.0508
Liberia,5057677,2099,0.0415
Burundi,11890781,3995,0.0336
"Democratic Republic of Congo",89561404,29853,0.0333
Chad,16425859,4817,0.0293
Niger,24206636,5228,0.0216
Fiji,896444,117,0.0131
Laos,7275556,757,0.0104
China,1439323774,102494,0.0071
"Marshall Islands",59194,4,0.0068
"Solomon Islands",686878,13,0.0019
Samoa,198410,3,0.0015
"Micronesia (country)",115021,1,0.0009
Anguilla,15002,0,0.0000
Aruba,106766,0,0.0000
Bermuda,62273,0,0.0000
"Cayman Islands",65720,0,0.0000
Curacao,164100,0,0.0000
"Faeroe Islands",48865,0,0.0000
"Falkland Islands",3483,0,0.0000
Gibraltar,33691,0,0.0000
Greenland,56772,0,0.0000
Guernsey,67052,0,0.0000
"Hong Kong",7496988,0,0.0000
"Isle of Man",85032,0,0.0000
Jersey,101073,0,0.0000
Macao,649342,0,0.0000
Montserrat,4999,0,0.0000
Nauru,10834,0,0.0000
"Saint Helena",6071,0,0.0000
"Northern Cyprus",0,0,NULL
