continent,location,date,population,new_vaccinations,rolling_vaccinations
Asia,Afghanistan,24/2/2020,38928341,,0
Asia,Afghanistan,25/2/2020,38928341,,0
Asia,Afghanistan,26/2/2020,38928341,,0
Asia,Afghanistan,27/2/2020,38928341,,0
Asia,Afghanistan,28/2/2020,38928341,,0
Asia,Afghanistan,29/2/2020,38928341,,0
Asia,Afghanistan,1/3/2020,38928341,,0
Asia,Afghanistan,2/3/2020,38928341,,0
Asia,Afghanistan,3/3/2020,38928341,,0
Asia,Afghanistan,4/3/2020,38928341,,0
Asia,Afghanistan,5/3/2020,38928341,,0
Asia,Afghanistan,6/3/2020,38928341,,0
Asia,Afghanistan,7/3/2020,38928341,,0
Asia,Afghanistan,8/3/2020,38928341,,0
Asia,Afghanistan,9/3/2020,38928341,,0
Asia,Afghanistan,10/3/2020,38928341,,0
Asia,Afghanistan,11/3/2020,38928341,,0
Asia,Afghanistan,12/3/2020,38928341,,0
Asia,Afghanistan,13/3/2020,38928341,,0
Asia,Afghanistan,14/3/2020,38928341,,0
Asia,Afghanistan,15/3/2020,38928341,,0
Asia,Afghanistan,16/3/2020,38928341,,0
Asia,Afghanistan,17/3/2020,38928341,,0
Asia,Afghanistan,18/3/2020,38928341,,0
Asia,Afghanistan,19/3/2020,38928341,,0
Asia,Afghanistan,20/3/2020,38928341,,0
Asia,Afghanistan,21/3/2020,38928341,,0
Asia,Afghanistan,22/3/2020,38928341,,0
Asia,Afghanistan,23/3/2020,38928341,,0
Asia,Afghanistan,24/3/2020,38928341,,0
Asia,Afghanistan,25/3/2020,38928341,,0
Asia,Afghanistan,26/3/2020,38928341,,0
Asia,Afghanistan,27/3/2020,38928341,,0
Asia,Afghanistan,28/3/2020,38928341,,0
Asia,Afghanistan,29/3/2020,38928341,,0
Asia,Afghanistan,30/3/2020,38928341,,0
Asia,Afghanistan,31/3/2020,38928341,,0
Asia,Afghanistan,1/4/2020,38928341,,0
Asia,Afghanistan,2/4/2020,38928341,,0
Asia,Afghanistan,3/4/2020,38928341,,0
Asia,Afghanistan,4/4/2020,38928341,,0
Asia,Afghanistan,5/4/2020,38928341,,0
Asia,Afghanistan,6/4/2020,38928341,,0
Asia,Afghanistan,7/4/2020,38928341,,0
Asia,Afghanistan,8/4/2020,38928341,,0
Asia,Afghanistan,9/4/2020,38928341,,0
Asia,Afghanistan,10/4/2020,38928341,,0
Asia,Afghanistan,11/4/2020,38928341,,0
Asia,Afghanistan,12/4/2020,38928341,,0
Asia,Afghanistan,13/4/2020,38928341,,0
Asia,Afghanistan,14/4/2020,38928341,,0
Asia,Afghanistan,15/4/2020,38928341,,0
Asia,Afghanistan,16/4/2020,38928341,,0
Asia,Afghanistan,17/4/2020,38928341,,0
Asia,Afghanistan,18/4/2020,38928341,,0
Asia,Afghanistan,19/4/2020,38928341,,0
Asia,Afghanistan,20/4/2020,38928341,,0
Asia,Afghanistan,21/4/2020,38928341,,0
Asia,Afghanistan,22/4/2020,38928341,,0
Asia,Afghanistan,23/4/2020,38928341,,0
Asia,Afghanistan,24/4/2020,38928341,,0
Asia,Afghanistan,25/4/2020,38928341,,0
Asia,Afghanistan,26/4/2020,38928341,,0
Asia,Afghanistan,27/4/2020,38928341,,0
Asia,Afghanistan,28/4/2020,38928341,,0
Asia,Afghanistan,29/4/2020,38928341,,0
Asia,Afghanistan,30/4/2020,38928341,,0
Asia,Afghanistan,1/5/2020,38928341,,0
Asia,Afghanistan,2/5/2020,38928341,,0
Asia,Afghanistan,3/5/2020,38928341,,0
Asia,Afghanistan,4/5/2020,38928341,,0
Asia,Afghanistan,5/5/2020,38928341,,0
Asia,Afghanistan,6/5/2020,38928341,,0
Asia,Afghanistan,7/5/2020,38928341,,0
Asia,Afghanistan,8/5/2020,38928341,,0
Asia,Afghanistan,9/5/2020,38928341,,0
Asia,Afghanistan,10/5/2020,38928341,,0
Asia,Afghanistan,11/5/2020,38928341,,0
Asia,Afghanistan,12/5/2020,38928341,,0
Asia,Afghanistan,13/5/2020,38928341,,0
Asia,Afghanistan,14/5/2020,38928341,,0
Asia,Afghanistan,15/5/2020,38928341,,0
Asia,Afghanistan,16/5/2020,38928341,,0
Asia,Afghanistan,17/5/2020,38928341,,0
Asia,Afghanistan,18/5/2020,38928341,,0
Asia,Afghanistan,19/5/2020,38928341,,0
Asia,Afghanistan,20/5/2020,38928341,,0
Asia,Afghanistan,21/5/2020,38928341,,0
Asia,Afghanistan,22/5/2020,38928341,,0
Asia,Afghanistan,23/5/2020,38928341,,0
Asia,Afghanistan,24/5/2020,38928341,,0
Asia,Afghanistan,25/5/2020,38928341,,0
Asia,Afghanistan,26/5/2020,38928341,,0
Asia,Afghanistan,27/5/2020,38928341,,0
Asia,Afghanistan,28/5/2020,38928341,,0
Asia,Afghanistan,29/5/2020,38928341,,0
Asia,Afghanistan,30/5/2020,38928341,,0
Asia,Afghanistan,31/5/2020,38928341,,0
Asia,Afghanistan,1/6/2020,38928341,,0
Asia,Afghanistan,2/6/2020,38928341,,0
Asia,Afghanistan,3/6/2020,38928341,,0
Asia,Afghanistan,4/6/2020,38928341,,0
Asia,Afghanistan,5/6/2020,38928341,,0
Asia,Afghanistan,6/6/2020,38928341,,0
Asia,Afghanistan,7/6/2020,38928341,,0
Asia,Afghanistan,8/6/2020,38928341,,0
